division,round,instance,matchnum,red1,red2,red3,blue1,blue2,blue3,redscore,bluescore,redsit,bluesit,scored,winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,3,2,1,,8813A,4886A,6916E,798M,246,2600B,50,34,6916E,2600B,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a
1,3,2,2,,8813A,4886A,6916E,798M,246,2600B,53,8,8813A,2600B,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a
1,3,3,1,,3010A,2625,6091A,6442A,1615B,2606A,70,35,6091A,2606A,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a
1,3,3,2,,3010A,2625,6091A,6442A,1615B,2606A,12,29,6091A,2606A,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a
1,3,3,3,,3010A,2625,6091A,6442A,1615B,2606A,50,28,6091A,2606A,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a
1,3,4,1,,5447A,2442A,6769A,6181A,4898A,6916D,12,13,2442A,4898A,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a
1,3,4,2,,5447A,2442A,6769A,6181A,4898A,6916D,42,12,6769A,6916D,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a
1,3,4,3,,5447A,2442A,6769A,6181A,4898A,6916D,45,12,6769A,6916D,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a
1,4,1,1,,44,1615A,2442C,8813A,4886A,6916E,61,21,2442C,6916E,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a
1,4,1,2,,44,1615A,2442C,8813A,4886A,6916E,42,35,2442C,6916E,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a
1,4,2,1,,3010A,2625,6091A,5447A,2442A,6769A,75,13,6091A,6769A,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a
1,4,2,2,,3010A,2625,6091A,5447A,2442A,6769A,43,40,6091A,6769A,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a
1,5,1,1,,44,1615A,2442C,3010A,2625,6091A,47,0,2442C,6091A,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a
1,5,1,2,,44,1615A,2442C,3010A,2625,6091A,70,38,2442C,6091A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
